fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2022-05-19,8293X,XÀTIVA,VALENCIA,88,"23,0","0,0","16,3",05:20,"29,6",13:40,36,"3,3","9,2",13:00,"12,4","1013,3",24,"1008,8",02
2022-05-20,8293X,XÀTIVA,VALENCIA,88,"23,4","0,0","17,7",03:00,"29,0",12:50,02,"2,8","8,9",13:50,"12,0","1014,6",08,"1012,1",Varias
2022-05-21,8293X,XÀTIVA,VALENCIA,88,"23,9","0,0","15,6",04:50,"32,2",13:40,02,"2,2","8,3",13:00,"13,0","1012,9",00,"1006,4",24
2022-05-22,8293X,XÀTIVA,VALENCIA,88,"25,7","0,0","15,2",04:50,"36,2",13:10,31,"1,4","8,1",14:00,"9,7","1006,4",00,"997,3",18
2022-05-23,8293X,XÀTIVA,VALENCIA,88,"27,4","0,0","20,0",00:40,"34,9",16:10,28,"3,1","9,4",12:10,"13,6","999,6",07,"995,1",18
2022-05-24,8293X,XÀTIVA,VALENCIA,88,"22,4","0,0","16,1",23:59,"28,6",13:10,06,"3,6","12,5",21:50,"6,6","1003,1",24,"994,9",15
2022-05-25,8293X,XÀTIVA,VALENCIA,88,"18,2","0,0","12,5",05:00,"23,9",14:30,05,"2,8","9,2",13:20,"9,9","1012,0",Varias,"1003,0",00
2022-05-26,8293X,XÀTIVA,VALENCIA,88,"21,1","0,0","12,2",05:00,"30,0",16:40,24,"2,5","6,4",06:50,"14,0","1012,7",09,"1007,9",18
2022-05-27,8293X,XÀTIVA,VALENCIA,88,"23,1","0,0","13,5",05:00,"32,7",13:40,02,"2,5","8,9",13:50,"14,0","1010,7",00,"1006,1",Varias
2022-05-28,8293X,XÀTIVA,VALENCIA,88,"25,8","0,0","15,0",05:10,"36,5",15:20,11,"2,8","9,7",16:20,"13,6","1008,2",00,"997,6",18
2022-05-29,8293X,XÀTIVA,VALENCIA,88,"24,8","0,0","17,8",02:40,"31,9",10:30,35,"3,3","9,4",16:30,"13,1","998,0",00,"993,6",17
2022-05-30,8293X,XÀTIVA,VALENCIA,88,"25,0","0,0","15,5",04:30,"34,6",13:50,26,"2,5","11,4",11:20,"11,8","1001,5",24,"995,1",03
2022-05-31,8293X,XÀTIVA,VALENCIA,88,"25,0","0,0","16,0",05:00,"34,0",15:00,35,"3,1","10,6",17:00,"13,9","1005,0",24,"1000,5",16
