fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
"2020-03-04,8309X,UTIEL,VALENCIA,758,""13,6"",""0,0"",""9,4"",23:59,""17,7"",16:10,31,""6,1"",""13,3"",10:40,""4,2"",""932,9"",09,""930,4"",15"
"2020-03-05,8309X,UTIEL,VALENCIA,758,""11,6"",""0,4"",""7,9"",23:00,""15,3"",15:00,27,""7,8"",""20,8"",14:10,""4,4"",""930,5"",00,""922,4"",17"
"2020-03-06,8309X,UTIEL,VALENCIA,758,""8,2"",""0,0"",""4,1"",07:00,""12,2"",13:40,32,""6,9"",""21,1"",14:40,""6,5"",""933,5"",24,""925,9"",02"
"2020-03-07,8309X,UTIEL,VALENCIA,758,""9,3"",""0,0"",""2,0"",05:50,""16,6"",14:30,35,""7,2"",""17,8"",15:30,""5,5"",""936,9"",22,""932,8"",15"
"2020-03-08,8309X,UTIEL,VALENCIA,758,""10,4"",""0,0"",""0,5"",07:00,""20,4"",15:10,29,""4,7"",""12,5"",17:40,""9,7"",""937,0"",09,""933,5"",17"
"2020-03-09,8309X,UTIEL,VALENCIA,758,""12,6"",""0,0"",""4,7"",06:30,""20,6"",15:40,35,""4,4"",""10,8"",11:00,""10,3"",""936,8"",22,""933,0"",15"
"2020-03-10,8309X,UTIEL,VALENCIA,758,""15,6"",""0,0"",""7,1"",04:10,""24,2"",16:00,34,""2,5"",""12,5"",02:20,""6,1"",""938,5"",10,""935,5"",17"
"2020-03-11,8309X,UTIEL,VALENCIA,758,""15,8"",""0,0"",""4,4"",06:00,""27,1"",15:00,13,""2,5"",""8,1"",17:20,""10,5"",""937,5"",00,""934,1"",Varias"
"2020-03-12,8309X,UTIEL,VALENCIA,758,""17,2"",""0,0"",""7,1"",06:20,""27,2"",15:00,15,""3,3"",""6,7"",12:30,""10,7"",""935,7"",01,""929,9"",17"
"2020-03-13,8309X,UTIEL,VALENCIA,758,""12,0"",""0,0"",""6,5"",07:00,""17,4"",14:20,13,""3,9"",""9,2"",11:20,""9,8"",""932,8"",Varias,""930,0"",04"
